FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1,97,13,1,0,5,0,3,0,3,1
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3,12,1,1,0,8,0,0,0,2,1
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1,76,12,50,0,3,1,7,0,4,10
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1,45,3,28,1,1,0,24,1,0,0
Tpr_TRINITY_DN13277_c0_g1|Tdu_TRINITY_DN14226_c0_g1,0,0,0,0,2,0,0,0,0,0
Tpr_TRINITY_DN12935_c0_g1|Tdu_TRINITY_DN23885_c2_g4,6,3,1,45,0,4,0,1,0,0
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1,45,11,5,0,1,0,1,0,0,0
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1,101,17,8,0,11,0,11,0,5,2
Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3,30,1,0,0,6,0,3,0,2,1
Tpr_TRINITY_DN30483_c0_g1|Tdu_TRINITY_DN9825_c0_g1,7,4,2,0,0,0,1,0,1,1
Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5,36,5,2,0,18,1,4,0,7,1
Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1,204,12,119,67,172,17,32,47,23,31
Tpr_TRINITY_DN15806_c0_g1|Tdu_TRINITY_DN17874_c1_g4,5,0,3,0,0,0,0,0,0,0
Tpr_TRINITY_DN10426_c1_g11|Tdu_TRINITY_DN14901_c0_g1,18,0,0,0,4,0,0,0,1,4
Tpr_TRINITY_DN15890_c1_g3|Tdu_TRINITY_DN25023_c2_g1,3,0,0,6,0,0,0,10,0,0
Tpr_TRINITY_DN11118_c1_g2|Tdu_TRINITY_DN24387_c2_g2,28,1,32,78,4,2,2,2,0,1
Tpr_TRINITY_DN12437_c6_g1|Tdu_TRINITY_DN18152_c3_g1,93,3,1,0,2,12,1,0,19,9
Tpr_TRINITY_DN12422_c3_g4|Tdu_TRINITY_DN23379_c3_g1,2,0,0,0,0,0,3,0,0,0
Tpr_TRINITY_DN12134_c0_g2|Tdu_TRINITY_DN21624_c3_g1,190,7,3,1,62,0,13,18,12,13
Tpr_TRINITY_DN8165_c0_g1|Tdu_TRINITY_DN15693_c0_g1,14,1,0,10,3,2,1,0,0,0
Tpr_TRINITY_DN12409_c3_g1|Tdu_TRINITY_DN22484_c2_g8,10,3,0,0,0,0,0,9,0,1
Tpr_TRINITY_DN12330_c1_g4|Tdu_TRINITY_DN20630_c0_g1,60,12,34,2,1,6,8,2,2,4
Tpr_TRINITY_DN15316_c5_g4|Tdu_TRINITY_DN19520_c4_g1,2,0,8,3,0,0,1,2,0,0
Tpr_TRINITY_DN11324_c0_g1|Tdu_TRINITY_DN11585_c0_g1,131,10,64,0,42,1,9,0,17,11
Tpr_TRINITY_DN14194_c1_g7|Tdu_TRINITY_DN8757_c0_g1,29,3,0,0,1,1,0,0,1,4
Tpr_TRINITY_DN10288_c2_g1|Tdu_TRINITY_DN23604_c4_g1,69,41,2,46,20,16,3,6,2,0
Tpr_TRINITY_DN14549_c5_g3|Tdu_TRINITY_DN19459_c2_g1,4,1,0,58,0,7,5,5,2,0
Tpr_TRINITY_DN12493_c7_g1|Tdu_TRINITY_DN18655_c4_g1,11,0,2,9,1,0,0,2,2,0
Tpr_TRINITY_DN13630_c0_g7|Tdu_TRINITY_DN24974_c6_g2,381,5,163,265,297,15,36,2,8,2
Tpr_TRINITY_DN12143_c3_g1|Tdu_TRINITY_DN20625_c4_g1,289,73,3,0,10,2,33,0,5,0
Tpr_TRINITY_DN11809_c7_g3|Tdu_TRINITY_DN17369_c3_g2,105,19,0,0,3,0,1,0,17,3
Tpr_TRINITY_DN12870_c3_g1|Tdu_TRINITY_DN17260_c2_g1,2,0,23,2,0,0,306,0,0,0
Tpr_TRINITY_DN10769_c4_g1|Tdu_TRINITY_DN17328_c4_g1,378,14,10,16,15,52,236,117,73,236
Tpr_TRINITY_DN12636_c2_g10|Tdu_TRINITY_DN19969_c1_g5,0,0,0,7,0,0,0,2,0,0
Tpr_TRINITY_DN11191_c5_g12|Tdu_TRINITY_DN17180_c6_g3,2,0,5,2,6,1,0,1,3,0
Tpr_TRINITY_DN11075_c8_g1|Tdu_TRINITY_DN16663_c7_g1,6,3,24,0,0,0,2,0,0,0
Tpr_TRINITY_DN6697_c0_g1|Tdu_TRINITY_DN24609_c6_g3,0,0,0,3,0,0,0,0,0,0
Tpr_TRINITY_DN12193_c2_g1|Tdu_TRINITY_DN21687_c3_g1,29,4,23,0,2,0,2,1,10,0
Tpr_TRINITY_DN11366_c0_g1|Tdu_TRINITY_DN17359_c4_g3,48,8,53,0,11,1,5,0,8,1
Tpr_TRINITY_DN4810_c0_g2|Tdu_TRINITY_DN13227_c0_g1,0,0,2,0,0,0,0,0,0,0
Tpr_TRINITY_DN14222_c1_g6|Tdu_TRINITY_DN17376_c1_g4,90,7,2,117,3,3,3,4,6,3
Tpr_TRINITY_DN15390_c2_g2|Tdu_TRINITY_DN18344_c3_g3,370,81,1,46,4,5,2,51,3,23
Tpr_TRINITY_DN14752_c6_g5|Tdu_TRINITY_DN21255_c1_g1,122,8,8,0,8,17,5,50,0,19
Tpr_TRINITY_DN7591_c0_g1|Tdu_TRINITY_DN21133_c2_g5,35,3,2,0,1,1,1,0,1,7
Tpr_TRINITY_DN10588_c1_g1|Tdu_TRINITY_DN18547_c0_g3,85,7,41,2,3,0,2,7,3,4
Tpr_TRINITY_DN12632_c2_g1|Tdu_TRINITY_DN23203_c1_g1,38,1,105,0,13,0,2,0,3,1
Tpr_TRINITY_DN11993_c0_g3|Tdu_TRINITY_DN21939_c1_g1,3,1,0,0,0,0,2,0,0,0
Tpr_TRINITY_DN13531_c2_g5|Tdu_TRINITY_DN23075_c3_g1,473,85,186,25,24,58,211,1,24,27
Tpr_TRINITY_DN4033_c0_g1|Tdu_TRINITY_DN17606_c4_g3,106,6,0,0,23,11,4,4,9,6
Tpr_TRINITY_DN15099_c2_g1|Tdu_TRINITY_DN19880_c1_g2,107,5,1,89,20,35,6,14,44,21
Tpr_TRINITY_DN11572_c4_g1|Tdu_TRINITY_DN18680_c1_g2,20,2,24,0,1,1,6,0,2,1
Tpr_TRINITY_DN11070_c2_g1|Tdu_TRINITY_DN18679_c0_g3,438,185,0,0,12,0,12,1,9,21
Tpr_TRINITY_DN13147_c4_g4|Tdu_TRINITY_DN19998_c2_g1,25,1,0,3,0,1,2,14,3,1
