Tdu_1	Tdu_2	Tdu_3	Tpr_1	Tpr_2	Tpr_3
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1	7.83770640024982	8.30740778312767	8.13952866378055	7.6083443383796	7.35482949259836	7.44932859305606
Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1	4.41062355931038	4.1281930197681	3.99404077497911	3.72919873325398	3.60452925993054	3.60015349530383
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2	3.91105254981987	4.19378136139568	2.0272076389143	6.5752860498003	7.18605267668493	6.67256199083188
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1	5.07543936772075	6.03284514318062	6.46864282825776	6.80448686055822	7.02599302836882	7.05958511394112
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3	4.4793363093944	3.65612457545288	4.18248586439222	1.65880940536259	3.1191024327603	4.55708477341194
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1	6.58445301520861	5.94033300439108	6.30248564050285	7.18863035189128	6.96308627680863	5.66243777355817
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1	6.04175624146446	5.14487176091473	5.19713264035662	6.97350593101887	6.32699528440163	6.17090213680528
Tpr_TRINITY_DN12935_c0_g1|Tdu_TRINITY_DN23885_c2_g4	3.69692774446702	3.09424568784477	3.32266352244048	2.14423623253283	0.79717433787294	3.41958124966201
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1	5.20281867419698	5.92109678552817	5.41326607122138	6.15706027289041	5.67491858782194	5.77947719474839
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1	6.64552859196038	7.14901149127566	6.66053316119686	7.07159093070106	6.70886591974528	6.50137534082565
Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3	5.07543936772075	4.76801745552378	4.90762602316163	5.402970500933	5.29542520540076	5.66243777355817
Tpr_TRINITY_DN30483_c0_g1|Tdu_TRINITY_DN9825_c0_g1	3.44538897747106	3.74632238442446	3.32266352244048	4.38127542983368	2.3821368385941	3.76061816749707
Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5	6.19262290709109	5.64444277040524	5.66580810323753	6.73776074675741	5.1617467701688	6.28087497883041
Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1	8.26008587486983	8.25075017352476	8.41169707156604	8.44278981904638	8.57196139747411	8.69011019204272
Tpr_TRINITY_DN10426_c1_g11|Tdu_TRINITY_DN14901_c0_g1	3.69692774446702	3.98733048392825	4.34913573380167	4.8287344068049	3.90151099768768	4.0362526101105
Tpr_TRINITY_DN11118_c1_g2|Tdu_TRINITY_DN24387_c2_g2	5.03035147819222	4.48328797859066	4.75760057915702	4.09176881263869	4.30813625715032	4.93895540875558
Tpr_TRINITY_DN12437_c6_g1|Tdu_TRINITY_DN18152_c3_g1	6.08649455622975	6.59067151396426	6.6815181863262	5.26761864803811	5.41776074832482	5.77947719474839
Tpr_TRINITY_DN12134_c0_g2|Tdu_TRINITY_DN21624_c3_g1	7.36141058483171	7.49958979091976	7.72006086258359	8.22866501369353	8.06583329290061	8.04016766011388
Tpr_TRINITY_DN8165_c0_g1|Tdu_TRINITY_DN15693_c0_g1	5.3568523028694	4.19378136139568	3.92532802489509	4.54633467610417	4.8502856743325	3.41958124966201
Tpr_TRINITY_DN12409_c3_g1|Tdu_TRINITY_DN22484_c2_g8	2.95996215030082	2.94985577850959	3.42575701540458	2.14423623253283	3.33322723811315	3.60015349530383
Tpr_TRINITY_DN12330_c1_g4|Tdu_TRINITY_DN20630_c0_g1	5.49601505054103	5.66771254972809	5.98562853516291	5.67673131335985	5.97509213006878	6.08254626238443
Tpr_TRINITY_DN11324_c0_g1|Tdu_TRINITY_DN11585_c0_g1	7.34309040162492	7.25267505044925	7.29909505130207	8.16660404556128	7.89098801127567	8.27091386878021
Tpr_TRINITY_DN14194_c1_g7|Tdu_TRINITY_DN8757_c0_g1	4.00726786507917	4.85167538457069	4.87155676845411	3.58480882391881	4.8150962458702	4.46688696444036
Tpr_TRINITY_DN10288_c2_g1|Tdu_TRINITY_DN23604_c4_g1	6.5529174417755	6.59067151396426	6.78209514107777	6.97350593101887	6.71842022645853	6.54611365559094
Tpr_TRINITY_DN14549_c5_g3|Tdu_TRINITY_DN19459_c2_g1	3.80795905685577	3.34578445484073	3.42575701540458	3.42434415172556	3.60452925993054	4.26757815621696
