	Tdu_1	Tdu_2	Tdu_3	Tdu_4	Tdu_5	Tdu_6	Tpr_1	Tpr_2	Tpr_3	Tms_1	Tms_2	Tms_3
Tpr_TRINITY_DN12905_c3_g6|Tdu_TRINITY_DN24689_c3_g3	124.291769263173	142.643987144253	102.397632747054	145.739687695579	134.901526815301	134.672360869038	171.196834871047	147.434060053129	131.831769822712	141.728299063021	150.011699516407	89.4289535046824
Tpr_TRINITY_DN11850_c0_g4|Tdu_TRINITY_DN17056_c12_g1	58.4902443591402	67.6073064069116	55.6787128062106	58.9160439620427	50.8771472560564	46.7612364128604	65.217841855637	51.2270886625278	35.1551386193899	33.1704529721964	33.3359332258682	46.8437375500717
Tpr_TRINITY_DN9886_c0_g1|Tdu_TRINITY_DN19505_c3_g2	21.019931566566	14.8587486608597	17.9195857307345	17.5714517079777	22.3551101579642	11.2226967390865	50.0779857105784	31.8607502657185	33.8995979544116	15.0774786237256	28.3355432419879	21.2926079773053
Tpr_TRINITY_DN14586_c1_g4|Tdu_TRINITY_DN18561_c3_g1	7.31128054489252	16.3446235269457	9.59977807003632	7.23530364446139	14.6464514828041	13.0931461956009	16.3044604639093	16.8674560230274	17.5775693096949	1.50774786237256	21.6683565968143	3.1938911965958
Tpr_TRINITY_DN10401_c2_g3|Tdu_TRINITY_DN17579_c2_g1	20.1060214984544	17.0875609599887	17.2796005260654	17.5714517079777	14.6464514828041	11.2226967390865	24.4566906958639	21.2405001771457	20.0886506396513	34.6782008345689	18.3347632742275	12.7755647863832
Tpr_TRINITY_DN10583_c1_g12|Tdu_TRINITY_DN20978_c0_g1	19.1921114303429	8.91524919651582	12.7997040933818	17.5714517079777	16.9590490853521	11.2226967390865	10.481438869656	12.4944118689092	10.0443253198257	12.0619828989805	23.3351532581077	11.7109343875179
Tpr_TRINITY_DN7126_c0_g1|Tdu_TRINITY_DN16039_c0_g1	10.9669208173388	23.0310604243325	14.0796745027199	19.6386813206809	14.6464514828041	20.5749440216586	17.4690647827599	34.3596326395003	27.6218946295206	12.0619828989805	30.0023399032814	23.4218687750359
Tpr_TRINITY_DN16719_c0_g1|Tdu_TRINITY_DN14307_c0_g1	0.913910068111565	0	0	1.03361480635163	0	0	0	0.624720593445461	0	0	1.66679666129341	0
Tpr_TRINITY_DN13328_c0_g1|Tdu_TRINITY_DN19455_c8_g2	10.0530107492272	11.8869989286878	16.6396153213963	8.26891845081301	13.8755856152881	14.0283709238581	4.65841727540265	15.6180148361365	11.2998659848039	31.6627051098238	20.0015599355209	20.2279775784401
Tpr_TRINITY_DN14522_c4_g2|Tdu_TRINITY_DN19405_c0_g1	34.7285825882395	55.7203074782239	40.3190678941525	37.2101330286586	47.0228179184764	68.2714051627762	31.4443166089679	48.7282062887459	41.4328419442809	55.7866709077848	55.0042898226825	40.4559551568801
Tpr_TRINITY_DN11460_c5_g1|Tdu_TRINITY_DN4672_c0_g1	9.13910068111565	8.91524919651582	4.47989643268362	10.3361480635163	5.39606107261204	3.74089891302883	6.98762591310397	10.6202500885728	5.02216265991284	10.5542350366079	3.33359332258682	5.32315199432633
Tpr_TRINITY_DN11870_c2_g5|Tdu_TRINITY_DN21382_c0_g1	12.7947409535619	14.8587486608597	14.0796745027199	15.5042220952744	11.5629880127401	10.2874720108293	16.3044604639093	9.99552949512737	5.02216265991284	7.53873931186281	15.0011699516407	10.6463039886527
Tpr_TRINITY_DN13674_c1_g4|Tdu_TRINITY_DN21266_c1_g2	66.7154349721443	66.1214315408257	64.6385056715779	84.7564141208334	25.4385736280282	60.7896073367185	5.82302159425331	9.99552949512737	8.78878465484746	3.01549572474512	5.00038998388023	3.1938911965958
Tpr_TRINITY_DN13051_c0_g1|Tdu_TRINITY_DN17597_c4_g1	33.8146725201279	28.9745598886764	24.3194377774253	19.6386813206809	27.7511712305762	17.769269836887	13.9752518262079	16.8674560230274	16.3220286447167	28.6472093850787	33.3359332258682	30.8742815670927
Tpr_TRINITY_DN15591_c2_g2|Tdu_TRINITY_DN17279_c1_g1	40.2120429969089	39.3756839512782	57.5986684202179	35.1429034159553	26.2094394955442	58.9191578802041	78.0284893629943	81.2136771479099	65.2881145788669	54.2789230454122	30.0023399032814	62.8131935330507
Tpr_TRINITY_DN11512_c2_g2|Tdu_TRINITY_DN20439_c0_g1	24.6755718390123	58.6920572103958	19.1995561400726	60.983273574746	33.1472323031883	29.9271913042307	31.4443166089679	29.3618678919367	23.855272634586	21.1084700732159	36.669526548455	27.6803903704969
Tpr_TRINITY_DN14397_c2_g2|Tdu_TRINITY_DN17705_c1_g1	16.4503812260082	5.20056203130089	11.5197336840436	7.23530364446139	14.6464514828041	5.61134836954325	3.49381295655198	8.74608830823645	10.0443253198257	28.6472093850787	21.6683565968143	9.5816735897874
Tpr_TRINITY_DN10760_c8_g10|Tdu_TRINITY_DN17276_c3_g1	205.629765325102	229.567666810282	183.035768535359	295.613834616565	343.806176912139	310.494609781393	298.138705625769	304.238929007939	292.540974939923	435.73913222567	275.021449113412	251.252774132203
Tpr_TRINITY_DN12505_c3_g2|Tdu_TRINITY_DN18138_c4_g1	85.9075464024871	66.8643689738686	68.4784168995924	52.714355123933	69.3779280764406	86.0406749996631	39.5965468409225	49.3529268821914	74.0768992337143	82.9261324304909	68.3386631130298	67.0717151285118
Tpr_TRINITY_DN15820_c1_g1|Tdu_TRINITY_DN25331_c2_g1	30.1590322476817	7.42937433042985	4.47989643268362	6.20168883810976	11.5629880127401	3.74089891302883	10.481438869656	3.1236029672273	0	0	1.66679666129341	4.25852159546107
Tpr_TRINITY_DN12949_c3_g7|Tdu_TRINITY_DN22069_c2_g2	15.5364711578966	23.0310604243325	28.799334210109	14.4706072889228	23.8968418929962	22.445393478173	24.4566906958639	31.8607502657185	35.1551386193899	9.04648717423537	31.6691365645748	18.0987167807095
Tpr_TRINITY_DN11330_c3_g2|Tdu_TRINITY_DN17681_c7_g1	42.9537732012436	47.547995714751	40.9590530988216	38.2437478350102	48.5645496535084	43.9555622280888	40.7611511597731	39.9821179805095	50.2216265991284	57.2944187701573	46.6703065162154	66.0070847296465
Tpr_TRINITY_DN8391_c0_g2|Tdu_TRINITY_DN24864_c2_g1	8.22519061300409	5.20056203130089	3.83991122801453	10.3361480635163	4.62519520509604	4.67612364128604	8.15223023195463	8.12136771479099	10.0443253198257	0	10.0007799677605	0
Tpr_TRINITY_DN11855_c6_g1|Tdu_TRINITY_DN21579_c2_g3	31.0729423157932	38.6327465182352	27.5193638007708	32.0420589969004	32.3763664356723	29.9271913042307	39.5965468409225	30.6113090788276	35.1551386193899	30.1549572474512	45.003509854922	52.1668895443981
Tpr_TRINITY_DN13868_c2_g2|Tdu_TRINITY_DN18130_c1_g1	63.9737047678096	69.0931812729976	55.0387276015416	73.3866512509655	57.0440741961845	57.9839331519469	34.9381295655198	19.3663383968093	20.0886506396513	78.4028888433732	35.0027298871616	29.8096511682275
Tpr_TRINITY_DN12720_c1_g1|Tdu_TRINITY_DN23392_c0_g2	7.31128054489252	11.8869989286878	12.1597188887127	16.537836901626	6.16692694012805	15.8988203803725	15.1398561450586	9.99552949512737	16.3220286447167	9.04648717423537	10.0007799677605	6.3877823931916
Tpr_TRINITY_DN13696_c4_g3|Tdu_TRINITY_DN15744_c0_g1	0	0.742937433042985	0	0	0	0	1.16460431885066	0	0	0	0	0
Tpr_TRINITY_DN15056_c6_g1|Tdu_TRINITY_DN17318_c5_g3	3.65564027244626	0.742937433042985	1.27997040933818	11.3697628698679	7.70865867516006	5.61134836954325	15.1398561450586	13.7438530558001	17.5775693096949	9.04648717423537	13.3343732903473	5.32315199432633
Tpr_TRINITY_DN11334_c1_g4|Tdu_TRINITY_DN24658_c1_g1	35.6424926563511	25.2598727234615	39.0390974848144	23.7731405460874	31.6055005681563	28.9919665759734	24.4566906958639	29.9865884853821	37.6662199493463	52.7711751830397	36.669526548455	59.6193023364549
Tpr_TRINITY_DN8582_c0_g1|Tdu_TRINITY_DN14940_c0_g1	0	0	1.27997040933818	1.03361480635163	0	0	3.49381295655198	0	0	0	0	0
Tpr_TRINITY_DN13128_c0_g4|Tdu_TRINITY_DN21058_c0_g3	5.48346040866939	2.97174973217194	3.19992602334544	6.20168883810976	3.08346347006403	2.80567418477162	9.31683455080529	4.37304415411823	15.0664879797385	4.52324358711768	15.0011699516407	5.32315199432633
Tpr_TRINITY_DN10761_c2_g1|Tdu_TRINITY_DN10050_c0_g1	0	0.742937433042985	0	1.03361480635163	0	0	0	1.24944118689092	2.51108132995642	1.50774786237256	0	0
Tpr_TRINITY_DN12755_c4_g2|Tdu_TRINITY_DN17518_c11_g2	8.22519061300409	17.0875609599887	19.1995561400726	9.30253325716464	15.4173173503201	18.7044945651442	23.2920863770132	32.485470859164	42.6883826092591	36.1859486969415	18.3347632742275	21.2926079773053
Tpr_TRINITY_DN10680_c0_g1|Tdu_TRINITY_DN16627_c0_g2	1.82782013622313	2.22881229912895	0.639985204669088	0	0	0.935224728257208	0	0	1.25554066497821	0	0	1.06463039886527
Tpr_TRINITY_DN14850_c0_g5|Tdu_TRINITY_DN20400_c6_g1	55.7485141548055	43.8333085495361	89.5979286536723	39.2773626413618	42.3976227133803	67.336180434519	38.4319425220718	74.9664712134553	67.7991959088233	61.817662357275	28.3355432419879	103.269148689931
Tpr_TRINITY_DN13804_c2_g7|Tdu_TRINITY_DN23035_c2_g1	0.913910068111565	4.45762459825791	1.27997040933818	3.10084441905488	2.31259760254802	11.2226967390865	1.16460431885066	1.24944118689092	6.27770332489105	9.04648717423537	3.33359332258682	5.32315199432633
Tpr_TRINITY_DN10662_c0_g1|Tdu_TRINITY_DN18834_c3_g2	138.914330352958	203.564856653778	167.036138418632	204.655731657622	254.385736280282	179.563147825384	149.069352812885	118.696912754638	116.765281842973	105.542350366079	166.679666129341	120.303235071775
Tpr_TRINITY_DN15423_c1_g2|Tdu_TRINITY_DN17634_c2_g1	35.6424926563511	52.7485577460519	44.1589791221671	49.6135107048781	33.1472323031883	55.1782589671753	145.575539856333	123.069956908756	138.109473147603	45.2324358711768	71.6722564356166	44.7144767523412
Tpr_TRINITY_DN11858_c5_g3|Tdu_TRINITY_DN19969_c1_g1	42.9537732012436	39.3756839512782	10.2397632747054	9.30253325716464	43.1684885808964	17.769269836887	20.9628777393119	32.485470859164	40.1773012793027	34.6782008345689	23.3351532581077	66.0070847296465
Tpr_TRINITY_DN13426_c4_g3|Tdu_TRINITY_DN13549_c0_g1	6.39737047678096	0.742937433042985	1.91995561400726	1.03361480635163	5.39606107261204	0	9.31683455080529	3.74832356067276	6.27770332489105	0	0	10.6463039886527
Tpr_TRINITY_DN13611_c1_g4|Tdu_TRINITY_DN18842_c0_g2	50.2650537461361	56.4632449112669	63.9985204669088	35.1429034159553	57.8149400637005	115.967866303894	47.7487770728771	64.9709417183279	65.2881145788669	120.619828989805	71.6722564356166	129.884908661563
Tpr_TRINITY_DN14505_c2_g3|Tdu_TRINITY_DN23745_c3_g3	50.2650537461361	30.4604347547624	49.9188459641889	39.2773626413618	53.9606107261204	53.3078095106609	53.5717986671304	37.4832356067276	60.265951918954	90.4648717423537	93.3406130324309	56.4254111398591
