Tms_1	Tms_2	Tms_3	Tml_1	Tml_2	Tml_3
Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3	4.98818241031602	5.08219717344822	4.67658351592239	4.96848564684431	6.06363718239394	4.84202962194121
Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5	7.97169428752745	7.16673068365989	6.82580952469687	6.55344814756547	6.06363718239394	6.87886639012158
Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1	8.50984232912865	8.34833749014983	8.14940451178687	8.04714259071931	8.31035893309213	8.35473603362085
Tpr_TRINITY_DN10426_c1_g11|Tdu_TRINITY_DN14901_c0_g1	6.13361284983758	4.61653360109941	5.11910175162334	3.56993627035403	5.37175947775628	5.19350199244258
Tpr_TRINITY_DN11118_c1_g2|Tdu_TRINITY_DN24387_c2_g2	4.89798460134444	4.86807236809537	5.22407131122488	4.35843216516032	4.47867468167279	4.7389361289771
Tpr_TRINITY_DN12437_c6_g1|Tdu_TRINITY_DN18152_c3_g1	6.51364389928851	6.7940717866516	6.48921338002067	5.31995801734569	6.35314379958893	6.75223295159056
Tpr_TRINITY_DN12134_c0_g2|Tdu_TRINITY_DN21624_c3_g1	7.59483998213649	8.18421811038873	7.91081754990336	8.01137145969749	8.38556527728131	7.38492806309582
Tpr_TRINITY_DN12330_c1_g4|Tdu_TRINITY_DN20630_c0_g1	4.89798460134444	5.77880502999828	5.22407131122488	4.75436084149146	5.44390926351211	4.3763660495924
Tpr_TRINITY_DN11324_c0_g1|Tdu_TRINITY_DN11585_c0_g1	8.12866363386585	8.40909152122893	7.77919858240528	8.0233939879467	7.76583735839947	7.90886113041942
Tpr_TRINITY_DN14194_c1_g7|Tdu_TRINITY_DN8757_c0_g1	4.89798460134444	5.2686102976791	4.24916229218772	3.56993627035403	4.9443382540216	4.62790481658836
Tpr_TRINITY_DN10288_c2_g1|Tdu_TRINITY_DN23604_c4_g1	6.63028881814078	6.59925560966757	7.05651721424532	5.83842510627994	6.27618181777405	6.85441334639704
Tpr_TRINITY_DN13630_c0_g7|Tdu_TRINITY_DN24974_c6_g2	8.46342454380078	7.78645860254172	8.73325596505928	7.29041374173167	8.54988163216521	8.52708044706887
Tpr_TRINITY_DN12143_c3_g1|Tdu_TRINITY_DN20625_c4_g1	8.05753045700675	7.99900323792182	7.90293395082752	7.83160384042392	7.7084090783504	7.46786440407789
