Tdu_4	Tdu_5	Tdu_6	Tpr_1	Tpr_2	Tpr_3
Tpr_TRINITY_DN13493_c0_g1|Tdu_TRINITY_DN16799_c0_g1	7.26538623340546	6.98396412633357	6.47702397523607	7.59192212536241	6.72116691707521	7.11971918075622
Tpr_TRINITY_DN13767_c0_g1|Tdu_TRINITY_DN21451_c4_g5	8.88126481090931	8.99801438829092	8.96392218962298	7.09524615705921	7.18358592482498	6.59569944426037
Tpr_TRINITY_DN10598_c0_g2|Tdu_TRINITY_DN20372_c2_g1	5.41843060805117	5.18938780899727	6.0592358649412	5.38654828791581	5.59862342410382	6.29208322764995
Tpr_TRINITY_DN10137_c3_g4|Tdu_TRINITY_DN21232_c7_g10	5.91982839213319	4.6308975196373	5.46875635925247	6.06192608385918	5.89370029934176	5.97340079226624
Tpr_TRINITY_DN11304_c3_g5|Tdu_TRINITY_DN17200_c4_g1	7.80628009588423	8.20488890253746	8.3899475184118	7.92408544244423	8.02322156169076	8.2015709347445
Tpr_TRINITY_DN12899_c5_g2|Tdu_TRINITY_DN19461_c3_g2	7.47807355447857	7.3373778399357	7.81044770896127	6.83615893574208	7.59606318378526	7.92811991296537
Tpr_TRINITY_DN10528_c5_g2|Tdu_TRINITY_DN18934_c1_g1	10.2660371222236	10.7665368551955	9.96024090403055	10.8464692045198	10.7302432628448	10.7077298445401
Tpr_TRINITY_DN15775_c2_g6|Tdu_TRINITY_DN19323_c3_g1	7.59872729356592	7.48978274233499	7.40519123047501	6.77167020929037	6.3957100107076	6.79228811019147
Tpr_TRINITY_DN11161_c2_g1|Tdu_TRINITY_DN19799_c7_g5	8.90820038988035	8.85656507300661	9.00738014530676	8.01045706887748	7.73752152992551	7.81507997506471
Tpr_TRINITY_DN10235_c3_g1|Tdu_TRINITY_DN17318_c2_g1	4.76635391147147	4.6308975196373	5.25463155389963	5.15334911162278	6.03650089974078	6.06752296963079
Tpr_TRINITY_DN11460_c3_g5|Tdu_TRINITY_DN16979_c0_g2	6.89983691694573	7.19383371402846	6.67686455458267	5.92037193964516	6.05152910897311	6.18416788848306
Tpr_TRINITY_DN15959_c2_g2|Tdu_TRINITY_DN25051_c1_g1	5.52668349870319	5.11632434680755	5.25463155389963	5.1018188109827	5.47029932712829	5.47494728479976
Tpr_TRINITY_DN14682_c5_g11|Tdu_TRINITY_DN19228_c2_g5	6.56949658224216	5.56378332377877	5.43520379954145	6.28624338212012	5.67824059216719	5.90705829743754
Tpr_TRINITY_DN11903_c1_g4|Tdu_TRINITY_DN22646_c1_g2	7.52233147416348	7.51842279037889	7.17047110623563	7.78398347072922	7.58060558904506	7.5475159107504
Tpr_TRINITY_DN12775_c0_g1|Tdu_TRINITY_DN16972_c1_g1	5.12892399085618	4.57745826067584	4.80717257692841	5.54927778795392	5.20053905810618	5.60619181807801
