"","Tdu_1","Tdu_2","Tdu_3","Tpr_1","Tpr_2","Tpr_3","Tml_1","Tml_2","Tml_3"
"Tpr_TRINITY_DN7374_c0_g1|Tdu_TRINITY_DN16956_c0_g1",0,4,1,0,3,0,1,6,0
"Tpr_TRINITY_DN10973_c0_g8|Tdu_TRINITY_DN17701_c3_g1",3,8,3,1,2,4,1,4,5
"Tpr_TRINITY_DN14760_c2_g1|Tdu_TRINITY_DN21911_c2_g4",25,22,66,19,78,45,13,13,13
"Tpr_TRINITY_DN14126_c1_g9|Tdu_TRINITY_DN18292_c6_g2",3,5,15,6,25,12,2,4,1
"Tpr_TRINITY_DN13112_c3_g9|Tdu_TRINITY_DN25069_c2_g1",449,586,564,133,307,167,191,162,188
"Tpr_TRINITY_DN12978_c2_g1|Tdu_TRINITY_DN21592_c2_g3",53,61,116,35,92,54,19,30,29
"Tpr_TRINITY_DN8856_c0_g2|Tdu_TRINITY_DN31369_c0_g1",0,0,0,0,0,0,0,0,1
"Tpr_TRINITY_DN11038_c4_g8|Tdu_TRINITY_DN22686_c1_g3",697,1142,1324,715,1534,754,636,330,367
"Tpr_TRINITY_DN12777_c3_g7|Tdu_TRINITY_DN15942_c0_g1",16,10,11,7,15,8,5,5,2
"Tpr_TRINITY_DN14647_c0_g2|Tdu_TRINITY_DN20553_c6_g1",32,55,89,19,16,13,5,17,30
"Tpr_TRINITY_DN5457_c0_g1|Tdu_TRINITY_DN13606_c0_g1",4,5,9,3,6,2,3,1,2
"Tpr_TRINITY_DN13580_c5_g3|Tdu_TRINITY_DN23865_c0_g1",3,2,2,1,2,0,1,1,2
"Tpr_TRINITY_DN15229_c3_g5|Tdu_TRINITY_DN20036_c5_g3",19,30,24,13,19,9,9,14,13
"Tpr_TRINITY_DN13095_c0_g1|Tdu_TRINITY_DN20734_c1_g6",191,260,244,134,213,98,102,84,69
"Tpr_TRINITY_DN15264_c1_g3|Tdu_TRINITY_DN20127_c1_g1",54,110,97,55,67,23,26,43,25
"Tpr_TRINITY_DN10832_c8_g3|Tdu_TRINITY_DN14158_c0_g1",0,3,2,1,5,2,2,1,1
"Tpr_TRINITY_DN11065_c1_g2|Tdu_TRINITY_DN15155_c1_g1",80,78,69,54,110,58,28,48,40
"Tpr_TRINITY_DN12901_c5_g2|Tdu_TRINITY_DN16338_c0_g1",8,7,0,18,38,7,8,4,9
"Tpr_TRINITY_DN14945_c4_g4|Tdu_TRINITY_DN17045_c0_g1",0,0,2,2,3,4,0,0,1
"Tpr_TRINITY_DN10529_c1_g1|Tdu_TRINITY_DN18426_c5_g1",1047,1243,1492,1278,2570,1261,493,274,704
"Tpr_TRINITY_DN16445_c0_g1|Tdu_TRINITY_DN14128_c0_g1",0,0,0,0,2,0,0,0,1
"Tpr_TRINITY_DN15101_c2_g1|Tdu_TRINITY_DN20083_c6_g1",149,184,172,64,130,55,23,76,113
"Tpr_TRINITY_DN39224_c0_g1|Tdu_TRINITY_DN12511_c0_g1",0,0,0,1,0,0,0,0,0
"Tpr_TRINITY_DN7668_c0_g1|Tdu_TRINITY_DN17508_c2_g1",20,32,43,14,10,6,6,14,1
"Tpr_TRINITY_DN15525_c1_g1|Tdu_TRINITY_DN21784_c0_g1",248,266,312,239,358,207,154,105,121
"Tpr_TRINITY_DN12549_c2_g5|Tdu_TRINITY_DN18027_c1_g4",14,24,29,43,66,46,5,19,16
"Tpr_TRINITY_DN13493_c0_g1|Tdu_TRINITY_DN16799_c0_g1",134,132,131,154,153,98,75,97,106
"Tpr_TRINITY_DN15177_c0_g1|Tdu_TRINITY_DN17578_c7_g2",7,8,6,4,5,11,6,2,1
"Tpr_TRINITY_DN13767_c0_g1|Tdu_TRINITY_DN21451_c4_g5",461,609,558,109,211,68,183,171,160
"Tpr_TRINITY_DN12896_c9_g2|Tdu_TRINITY_DN20213_c4_g1",20,49,43,3,5,4,17,14,16
"Tpr_TRINITY_DN10598_c0_g2|Tdu_TRINITY_DN20372_c2_g1",34,47,81,33,70,55,9,19,35
"Tpr_TRINITY_DN13626_c1_g2|Tdu_TRINITY_DN21923_c4_g1",12,17,12,9,8,2,5,4,7
"Tpr_TRINITY_DN14780_c1_g2|Tdu_TRINITY_DN18435_c0_g1",8,1,15,5,11,4,1,0,6
"Tpr_TRINITY_DN10137_c3_g4|Tdu_TRINITY_DN21232_c7_g10",54,45,37,53,86,44,29,33,23
"Tpr_TRINITY_DN11304_c3_g5|Tdu_TRINITY_DN17200_c4_g1",314,380,418,194,378,208,89,121,149
"Tpr_TRINITY_DN12899_c5_g2|Tdu_TRINITY_DN19461_c3_g2",132,247,264,91,281,172,44,67,113
"Tpr_TRINITY_DN10528_c5_g2|Tdu_TRINITY_DN18934_c1_g1",1417,1936,997,1474,2471,1184,709,941,1010
"Tpr_TRINITY_DN15775_c2_g6|Tdu_TRINITY_DN19323_c3_g1",213,245,219,87,122,78,55,73,78
"Tpr_TRINITY_DN10622_c0_g1|Tdu_TRINITY_DN25400_c4_g11",5,9,6,8,15,8,12,3,15
"Tpr_TRINITY_DN11161_c2_g1|Tdu_TRINITY_DN19799_c7_g5",532,503,559,206,310,159,158,132,180
"Tpr_TRINITY_DN10235_c3_g1|Tdu_TRINITY_DN17318_c2_g1",20,24,29,28,95,47,22,14,32
"Tpr_TRINITY_DN10406_c6_g1|Tdu_TRINITY_DN19667_c1_g4",2,5,1,3,5,2,1,0,2
"Tpr_TRINITY_DN12896_c8_g2|Tdu_TRINITY_DN4168_c0_g1",10,22,25,10,18,4,9,6,8
"Tpr_TRINITY_DN11460_c3_g5|Tdu_TRINITY_DN16979_c0_g2",100,131,136,48,96,51,45,39,27
"Tpr_TRINITY_DN15959_c2_g2|Tdu_TRINITY_DN25051_c1_g1",46,58,74,27,64,31,30,31,26
"Tpr_TRINITY_DN10562_c6_g1|Tdu_TRINITY_DN17925_c2_g1",7,7,12,8,22,14,4,3,2
"Tpr_TRINITY_DN14682_c5_g11|Tdu_TRINITY_DN19228_c2_g5",63,71,62,62,74,42,21,37,22
"Tpr_TRINITY_DN10226_c7_g2|Tdu_TRINITY_DN20397_c3_g1",2,10,22,5,33,18,2,4,4
"Tpr_TRINITY_DN11903_c1_g4|Tdu_TRINITY_DN22646_c1_g2",123,172,184,176,278,132,66,32,51
